"-- Please Select --","-- Please Select --"
None,None
"Please specify product's required option(s).","Please specify product's required option(s)."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
Change,Change
Delete,Delete
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","Maximum image width"
px.,px.
"Maximum image height","Maximum image height"
"Maximum number of characters:","Maximum number of characters:"
"Grouped product items","Grouped product items"
"Product Name","Product Name"
Qty,Qty
Availability,Availability
"Out of stock","Out of stock"
"No options of this product are available.","No options of this product are available."
"This is a required field.","This is a required field."
"Bss Commerce","Bss Commerce"
"Grouped Product With Custom Option","Grouped Product With Custom Option"
General,General
Enabled,Enabled
"Version 1.0.3","Version 1.0.3"
"Show Image","Show Image"
"Show Product Url","Show Product Url"
"Not show with ""Not Visible Individually""","Not show with ""Not Visible Individually"""
"Always Show Option","Always Show Option"
