"Edit Attachment '%1'","Edit Attachment '%1'"
"New Attachment","New Attachment"
Section,Section
Name,Name
Description,Description
"Downloads Limit","Downloads Limit"
"See the changed tab on the tab list","See the changed tab on the tab list"
File(s),File(s)
File,File
URL,URL
"Customer Groups","Customer Groups"
"Store View","Store View"
"Is Active","Is Active"
"Add file in ""New Order"" email","Add file in ""New Order"" email"
"Attachment Settings","Attachment Settings"
"The maximum file size limit is %1M.","The maximum file size limit is %1M."
"We can't provide the upload settings right now.","We can't provide the upload settings right now."
"Product IDs","Product IDs"
"To enter a new product ID, either start a new line or separate it from the previous one with a coma.","To enter a new product ID, either start a new line or separate it from the previous one with a coma."
"Product SKUs","Product SKUs"
"To enter a new product SKU, either start a new line or separate it from the previous one with a coma.","To enter a new product SKU, either start a new line or separate it from the previous one with a coma."
ID,ID
Type,Type
"Attribute Set","Attribute Set"
Status,Status
Visibility,Visibility
SKU,SKU
Price,Price
Products,Products
"Store View Specific Data","Store View Specific Data"
"Attachment Information","Attachment Information"
Attachments,Attachments
"Save Section","Save Section"
"Delete Section","Delete Section"
"Edit Section '%1'","Edit Section '%1'"
"New Section","New Section"
"Section Settings","Section Settings"
"Section Information","Section Information"
"File Name","File Name"
Enable,Enable
Title,Title
B,B
KB,KB
MB,MB
"The attachment type is invalid. Verify and try again.","The attachment type is invalid. Verify and try again."
"Something went wrong while saving the attachment %1.","Something went wrong while saving the attachment %1."
"Only %1 attachment(s) out of %2 have been saved.","Only %1 attachment(s) out of %2 have been saved."
"At least one file must be attached.","At least one file must be attached."
"The attachment has been saved.","The attachment has been saved."
"%1 attachments have been saved.","%1 attachments have been saved."
"The attachment %1 has been deleted.","The attachment %1 has been deleted."
"We can't find an attachment to delete.","We can't find an attachment to delete."
Attachment,Attachment
"Attachment ""%1""","Attachment ""%1"""
"The section no longer exists.","The section no longer exists."
"Something went wrong while loading the section page.","Something went wrong while loading the section page."
"MageWorx Downloads: Attachments","MageWorx Downloads: Attachments"
"Please correct the sent data.","Please correct the sent data."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"Mass action successful on %1 records","Mass action successful on %1 records"
"Mass action failed","Mass action failed"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"A total of %1 attachments have been disabled.","A total of %1 attachments have been disabled."
"An error occurred while disabling attachments.","An error occurred while disabling attachments."
"A total of %1 attachments have been enabled.","A total of %1 attachments have been enabled."
"An error occurred while enabling attachments.","An error occurred while enabling attachments."
"This product no longer exists.","This product no longer exists."
"The section %1 has been deleted.","The section %1 has been deleted."
"We can't find a section to delete.","We can't find a section to delete."
"Section ""%1""","Section ""%1"""
"MageWorx Downloads: Sections","MageWorx Downloads: Sections"
"A total of %1 sections have been disabled.","A total of %1 sections have been disabled."
"An error occurred while disabling sections.","An error occurred while disabling sections."
"A total of %1 sections have been enabled.","A total of %1 sections have been enabled."
"An error occurred while enabling sections.","An error occurred while enabling sections."
"The section has been saved.","The section has been saved."
